graph,strategy,ranks,median_time_s,reachable,max_depth,trials
large_dense,1D,1,0.021069,100000,4,10
large_dense,1D,16,0.006686,100000,4,10
large_dense,1D,2,0.010233,100000,4,10
large_dense,1D,4,0.005952,100000,4,10
large_dense,1D,8,0.005335,100000,4,10
large_dense,2D,1,0.021171,100000,4,10
large_dense,2D,16,0.003220,100000,4,10
large_dense,2D,4,0.006842,100000,4,10
large_dense,2D,9,0.004279,100000,4,10
large_powerlaw,1D,1,0.005864,100000,3,10
large_powerlaw,1D,16,0.001485,100000,3,10
large_powerlaw,1D,2,0.003843,100000,3,10
large_powerlaw,1D,4,0.002577,100000,3,10
large_powerlaw,1D,8,0.001827,100000,3,10
large_powerlaw,2D,1,0.006811,100000,3,10
large_powerlaw,2D,16,0.002615,100000,3,10
large_powerlaw,2D,4,0.004050,100000,3,10
large_powerlaw,2D,9,0.003115,100000,3,10
large_sparse,1D,1,0.008906,99996,7,10
large_sparse,1D,16,0.003157,99996,7,10
large_sparse,1D,2,0.005700,99996,7,10
large_sparse,1D,4,0.004100,99996,7,10
large_sparse,1D,8,0.003052,99996,7,10
large_sparse,2D,1,0.011366,99996,7,10
large_sparse,2D,16,0.003262,99996,7,10
large_sparse,2D,4,0.005213,99996,7,10
large_sparse,2D,9,0.004056,99996,7,10
