graph,strategy,ranks,trial,time_s,reachable,max_depth
large_dense,1D,1,1,0.021360,100000,4
large_dense,1D,1,2,0.020889,100000,4
large_dense,1D,1,3,0.020909,100000,4
large_dense,1D,1,4,0.021366,100000,4
large_dense,1D,1,5,0.021235,100000,4
large_dense,1D,1,6,0.021270,100000,4
large_dense,1D,1,7,0.021107,100000,4
large_dense,1D,1,8,0.020770,100000,4
large_dense,1D,1,9,0.020905,100000,4
large_dense,1D,1,10,0.021032,100000,4
large_dense,1D,2,1,0.009989,100000,4
large_dense,1D,2,2,0.010377,100000,4
large_dense,1D,2,3,0.010272,100000,4
large_dense,1D,2,4,0.010281,100000,4
large_dense,1D,2,5,0.010409,100000,4
large_dense,1D,2,6,0.010010,100000,4
large_dense,1D,2,7,0.009980,100000,4
large_dense,1D,2,8,0.011755,100000,4
large_dense,1D,2,9,0.010191,100000,4
large_dense,1D,2,10,0.010193,100000,4
large_dense,1D,4,1,0.006197,100000,4
large_dense,1D,4,2,0.006618,100000,4
large_dense,1D,4,3,0.005706,100000,4
large_dense,1D,4,4,0.006265,100000,4
large_dense,1D,4,5,0.005398,100000,4
large_dense,1D,4,6,0.005491,100000,4
large_dense,1D,4,7,0.006587,100000,4
large_dense,1D,4,8,0.005429,100000,4
large_dense,1D,4,9,0.005450,100000,4
large_dense,1D,4,10,0.006545,100000,4
large_dense,1D,8,1,0.005571,100000,4
large_dense,1D,8,2,0.005094,100000,4
large_dense,1D,8,3,0.005443,100000,4
large_dense,1D,8,4,0.005602,100000,4
large_dense,1D,8,5,0.004867,100000,4
large_dense,1D,8,6,0.005227,100000,4
large_dense,1D,8,7,0.004879,100000,4
large_dense,1D,8,8,0.005514,100000,4
large_dense,1D,8,9,0.004955,100000,4
large_dense,1D,8,10,0.005592,100000,4
large_dense,1D,16,1,0.007828,100000,4
large_dense,1D,16,2,0.005148,100000,4
large_dense,1D,16,3,0.006789,100000,4
large_dense,1D,16,4,0.009174,100000,4
large_dense,1D,16,5,0.010287,100000,4
large_dense,1D,16,6,0.006582,100000,4
large_dense,1D,16,7,0.007476,100000,4
large_dense,1D,16,8,0.006270,100000,4
large_dense,1D,16,9,0.005413,100000,4
large_dense,1D,16,10,0.005739,100000,4
large_dense,2D,1,1,0.021152,100000,4
large_dense,2D,1,2,0.021190,100000,4
large_dense,2D,1,3,0.021114,100000,4
large_dense,2D,1,4,0.021126,100000,4
large_dense,2D,1,5,0.021091,100000,4
large_dense,2D,1,6,0.021128,100000,4
large_dense,2D,1,7,0.021223,100000,4
large_dense,2D,1,8,0.021346,100000,4
large_dense,2D,1,9,0.021317,100000,4
large_dense,2D,1,10,0.021289,100000,4
large_dense,2D,4,1,0.006849,100000,4
large_dense,2D,4,2,0.006822,100000,4
large_dense,2D,4,3,0.006839,100000,4
large_dense,2D,4,4,0.006844,100000,4
large_dense,2D,4,5,0.006855,100000,4
large_dense,2D,4,6,0.006838,100000,4
large_dense,2D,4,7,0.006860,100000,4
large_dense,2D,4,8,0.006834,100000,4
large_dense,2D,4,9,0.006815,100000,4
large_dense,2D,4,10,0.006852,100000,4
large_dense,2D,9,1,0.004296,100000,4
large_dense,2D,9,2,0.004280,100000,4
large_dense,2D,9,3,0.004253,100000,4
large_dense,2D,9,4,0.004257,100000,4
large_dense,2D,9,5,0.004278,100000,4
large_dense,2D,9,6,0.004321,100000,4
large_dense,2D,9,7,0.004658,100000,4
large_dense,2D,9,8,0.004238,100000,4
large_dense,2D,9,9,0.004305,100000,4
large_dense,2D,9,10,0.004251,100000,4
large_dense,2D,16,1,0.003171,100000,4
large_dense,2D,16,2,0.003225,100000,4
large_dense,2D,16,3,0.003215,100000,4
large_dense,2D,16,4,0.003285,100000,4
large_dense,2D,16,5,0.003175,100000,4
large_dense,2D,16,6,0.003056,100000,4
large_dense,2D,16,7,0.003243,100000,4
large_dense,2D,16,8,0.003143,100000,4
large_dense,2D,16,9,0.003261,100000,4
large_dense,2D,16,10,0.003280,100000,4
large_powerlaw,1D,1,1,0.005853,100000,3
large_powerlaw,1D,1,2,0.005866,100000,3
large_powerlaw,1D,1,3,0.005879,100000,3
large_powerlaw,1D,1,4,0.005884,100000,3
large_powerlaw,1D,1,5,0.005855,100000,3
large_powerlaw,1D,1,6,0.005874,100000,3
large_powerlaw,1D,1,7,0.005852,100000,3
large_powerlaw,1D,1,8,0.005862,100000,3
large_powerlaw,1D,1,9,0.005858,100000,3
large_powerlaw,1D,1,10,0.005869,100000,3
large_powerlaw,1D,2,1,0.003836,100000,3
large_powerlaw,1D,2,2,0.003846,100000,3
large_powerlaw,1D,2,3,0.003839,100000,3
large_powerlaw,1D,2,4,0.003819,100000,3
large_powerlaw,1D,2,5,0.003842,100000,3
large_powerlaw,1D,2,6,0.003845,100000,3
large_powerlaw,1D,2,7,0.003838,100000,3
large_powerlaw,1D,2,8,0.003849,100000,3
large_powerlaw,1D,2,9,0.003885,100000,3
large_powerlaw,1D,2,10,0.003858,100000,3
large_powerlaw,1D,4,1,0.002558,100000,3
large_powerlaw,1D,4,2,0.002552,100000,3
large_powerlaw,1D,4,3,0.002602,100000,3
large_powerlaw,1D,4,4,0.002548,100000,3
large_powerlaw,1D,4,5,0.002564,100000,3
large_powerlaw,1D,4,6,0.002581,100000,3
large_powerlaw,1D,4,7,0.002577,100000,3
large_powerlaw,1D,4,8,0.002577,100000,3
large_powerlaw,1D,4,9,0.002579,100000,3
large_powerlaw,1D,4,10,0.002587,100000,3
large_powerlaw,1D,8,1,0.001832,100000,3
large_powerlaw,1D,8,2,0.001811,100000,3
large_powerlaw,1D,8,3,0.001817,100000,3
large_powerlaw,1D,8,4,0.001828,100000,3
large_powerlaw,1D,8,5,0.001831,100000,3
large_powerlaw,1D,8,6,0.001826,100000,3
large_powerlaw,1D,8,7,0.001812,100000,3
large_powerlaw,1D,8,8,0.001813,100000,3
large_powerlaw,1D,8,9,0.001841,100000,3
large_powerlaw,1D,8,10,0.001832,100000,3
large_powerlaw,1D,16,1,0.001494,100000,3
large_powerlaw,1D,16,2,0.001465,100000,3
large_powerlaw,1D,16,3,0.001348,100000,3
large_powerlaw,1D,16,4,0.001517,100000,3
large_powerlaw,1D,16,5,0.001591,100000,3
large_powerlaw,1D,16,6,0.001429,100000,3
large_powerlaw,1D,16,7,0.001494,100000,3
large_powerlaw,1D,16,8,0.001476,100000,3
large_powerlaw,1D,16,9,0.001512,100000,3
large_powerlaw,1D,16,10,0.001438,100000,3
large_powerlaw,2D,1,1,0.006824,100000,3
large_powerlaw,2D,1,2,0.006782,100000,3
large_powerlaw,2D,1,3,0.006799,100000,3
large_powerlaw,2D,1,4,0.006824,100000,3
large_powerlaw,2D,1,5,0.006794,100000,3
large_powerlaw,2D,1,6,0.006780,100000,3
large_powerlaw,2D,1,7,0.006787,100000,3
large_powerlaw,2D,1,8,0.006825,100000,3
large_powerlaw,2D,1,9,0.006847,100000,3
large_powerlaw,2D,1,10,0.006861,100000,3
large_powerlaw,2D,4,1,0.004069,100000,3
large_powerlaw,2D,4,2,0.004065,100000,3
large_powerlaw,2D,4,3,0.004025,100000,3
large_powerlaw,2D,4,4,0.004006,100000,3
large_powerlaw,2D,4,5,0.004064,100000,3
large_powerlaw,2D,4,6,0.004048,100000,3
large_powerlaw,2D,4,7,0.004034,100000,3
large_powerlaw,2D,4,8,0.004052,100000,3
large_powerlaw,2D,4,9,0.004091,100000,3
large_powerlaw,2D,4,10,0.004042,100000,3
large_powerlaw,2D,9,1,0.003114,100000,3
large_powerlaw,2D,9,2,0.003129,100000,3
large_powerlaw,2D,9,3,0.003045,100000,3
large_powerlaw,2D,9,4,0.003105,100000,3
large_powerlaw,2D,9,5,0.003116,100000,3
large_powerlaw,2D,9,6,0.003102,100000,3
large_powerlaw,2D,9,7,0.003135,100000,3
large_powerlaw,2D,9,8,0.003162,100000,3
large_powerlaw,2D,9,9,0.003111,100000,3
large_powerlaw,2D,9,10,0.003206,100000,3
large_powerlaw,2D,16,1,0.002666,100000,3
large_powerlaw,2D,16,2,0.002664,100000,3
large_powerlaw,2D,16,3,0.002562,100000,3
large_powerlaw,2D,16,4,0.002622,100000,3
large_powerlaw,2D,16,5,0.002552,100000,3
large_powerlaw,2D,16,6,0.002658,100000,3
large_powerlaw,2D,16,7,0.002566,100000,3
large_powerlaw,2D,16,8,0.002615,100000,3
large_powerlaw,2D,16,9,0.002550,100000,3
large_powerlaw,2D,16,10,0.002615,100000,3
large_sparse,1D,1,1,0.008939,99996,7
large_sparse,1D,1,2,0.008909,99996,7
large_sparse,1D,1,3,0.008907,99996,7
large_sparse,1D,1,4,0.008916,99996,7
large_sparse,1D,1,5,0.008907,99996,7
large_sparse,1D,1,6,0.008878,99996,7
large_sparse,1D,1,7,0.008904,99996,7
large_sparse,1D,1,8,0.008895,99996,7
large_sparse,1D,1,9,0.008895,99996,7
large_sparse,1D,1,10,0.008888,99996,7
large_sparse,1D,2,1,0.005906,99996,7
large_sparse,1D,2,2,0.005182,99996,7
large_sparse,1D,2,3,0.005495,99996,7
large_sparse,1D,2,4,0.005906,99996,7
large_sparse,1D,2,5,0.006062,99996,7
large_sparse,1D,2,6,0.005212,99996,7
large_sparse,1D,2,7,0.005039,99996,7
large_sparse,1D,2,8,0.005966,99996,7
large_sparse,1D,2,9,0.005248,99996,7
large_sparse,1D,2,10,0.006037,99996,7
large_sparse,1D,4,1,0.003912,99996,7
large_sparse,1D,4,2,0.003888,99996,7
large_sparse,1D,4,3,0.004736,99996,7
large_sparse,1D,4,4,0.003902,99996,7
large_sparse,1D,4,5,0.004638,99996,7
large_sparse,1D,4,6,0.004337,99996,7
large_sparse,1D,4,7,0.004538,99996,7
large_sparse,1D,4,8,0.004170,99996,7
large_sparse,1D,4,9,0.003758,99996,7
large_sparse,1D,4,10,0.004031,99996,7
large_sparse,1D,8,1,0.002788,99996,7
large_sparse,1D,8,2,0.003261,99996,7
large_sparse,1D,8,3,0.003023,99996,7
large_sparse,1D,8,4,0.002645,99996,7
large_sparse,1D,8,5,0.003091,99996,7
large_sparse,1D,8,6,0.003081,99996,7
large_sparse,1D,8,7,0.002814,99996,7
large_sparse,1D,8,8,0.002632,99996,7
large_sparse,1D,8,9,0.003162,99996,7
large_sparse,1D,8,10,0.003196,99996,7
large_sparse,1D,16,1,0.003738,99996,7
large_sparse,1D,16,2,0.002956,99996,7
large_sparse,1D,16,3,0.003224,99996,7
large_sparse,1D,16,4,0.003422,99996,7
large_sparse,1D,16,5,0.002772,99996,7
large_sparse,1D,16,6,0.003028,99996,7
large_sparse,1D,16,7,0.003123,99996,7
large_sparse,1D,16,8,0.003395,99996,7
large_sparse,1D,16,9,0.003129,99996,7
large_sparse,1D,16,10,0.003186,99996,7
large_sparse,2D,1,1,0.011319,99996,7
large_sparse,2D,1,2,0.011380,99996,7
large_sparse,2D,1,3,0.011382,99996,7
large_sparse,2D,1,4,0.011383,99996,7
large_sparse,2D,1,5,0.011336,99996,7
large_sparse,2D,1,6,0.011484,99996,7
large_sparse,2D,1,7,0.011415,99996,7
large_sparse,2D,1,8,0.011351,99996,7
large_sparse,2D,1,9,0.011324,99996,7
large_sparse,2D,1,10,0.011211,99996,7
large_sparse,2D,4,1,0.005208,99996,7
large_sparse,2D,4,2,0.005134,99996,7
large_sparse,2D,4,3,0.005174,99996,7
large_sparse,2D,4,4,0.005218,99996,7
large_sparse,2D,4,5,0.005229,99996,7
large_sparse,2D,4,6,0.005201,99996,7
large_sparse,2D,4,7,0.005238,99996,7
large_sparse,2D,4,8,0.005182,99996,7
large_sparse,2D,4,9,0.005277,99996,7
large_sparse,2D,4,10,0.005261,99996,7
large_sparse,2D,9,1,0.004085,99996,7
large_sparse,2D,9,2,0.004021,99996,7
large_sparse,2D,9,3,0.003954,99996,7
large_sparse,2D,9,4,0.004107,99996,7
large_sparse,2D,9,5,0.004009,99996,7
large_sparse,2D,9,6,0.004027,99996,7
large_sparse,2D,9,7,0.004253,99996,7
large_sparse,2D,9,8,0.004099,99996,7
large_sparse,2D,9,9,0.004024,99996,7
large_sparse,2D,9,10,0.004295,99996,7
large_sparse,2D,16,1,0.003414,99996,7
large_sparse,2D,16,2,0.003267,99996,7
large_sparse,2D,16,3,0.003205,99996,7
large_sparse,2D,16,4,0.003442,99996,7
large_sparse,2D,16,5,0.003422,99996,7
large_sparse,2D,16,6,0.003206,99996,7
large_sparse,2D,16,7,0.003254,99996,7
large_sparse,2D,16,8,0.003288,99996,7
large_sparse,2D,16,9,0.003154,99996,7
large_sparse,2D,16,10,0.003257,99996,7
