graph,strategy,ranks,time_s,reachable,max_depth
medium_chain,1D,1,0.002295,1000,999
medium_chain,1D,2,0.003015,1000,999
medium_chain,1D,4,0.002960,1000,999
medium_chain,1D,8,0.003829,1000,999
medium_chain,1D,16,0.003862,1000,999
medium_chain,2D,1,0.004349,1000,999
medium_chain,2D,4,0.006449,1000,999
medium_chain,2D,9,0.008137,1000,999
medium_chain,2D,16,0.008230,1000,999
medium_dense,1D,1,0.000125,1000,2
medium_dense,1D,2,0.000067,1000,2
medium_dense,1D,4,0.000088,1000,2
medium_dense,1D,8,0.000085,1000,2
medium_dense,1D,16,0.000067,1000,2
medium_dense,2D,1,0.000130,1000,2
medium_dense,2D,4,0.001108,1000,2
medium_dense,2D,9,0.001142,1000,2
medium_dense,2D,16,0.001175,1000,2
medium_sparse,1D,1,0.000084,998,6
medium_sparse,1D,2,0.000059,998,6
medium_sparse,1D,4,0.000046,998,6
medium_sparse,1D,8,0.000045,998,6
medium_sparse,1D,16,0.000051,998,6
medium_sparse,2D,1,0.000103,998,6
medium_sparse,2D,4,0.001201,998,6
medium_sparse,2D,9,0.001243,998,6
medium_sparse,2D,16,0.001252,998,6
