graph,strategy,ranks,median_time_s,reachable,max_depth,trials
medium_chain,1D,1,0.002195,1000,999,10
medium_chain,1D,16,0.003820,1000,999,10
medium_chain,1D,2,0.002547,1000,999,10
medium_chain,1D,4,0.002883,1000,999,10
medium_chain,1D,8,0.003789,1000,999,10
medium_chain,2D,1,0.004441,1000,999,10
medium_chain,2D,16,0.008404,1000,999,10
medium_chain,2D,4,0.006936,1000,999,10
medium_chain,2D,9,0.007510,1000,999,10
medium_dense,1D,1,0.000123,1000,2,10
medium_dense,1D,16,0.000034,1000,2,10
medium_dense,1D,2,0.000073,1000,2,10
medium_dense,1D,4,0.000050,1000,2,10
medium_dense,1D,8,0.000052,1000,2,10
medium_dense,2D,1,0.000124,1000,2,10
medium_dense,2D,16,0.001171,1000,2,10
medium_dense,2D,4,0.001151,1000,2,10
medium_dense,2D,9,0.001169,1000,2,10
medium_sparse,1D,1,0.000077,998,6,10
medium_sparse,1D,16,0.000066,998,6,10
medium_sparse,1D,2,0.000060,998,6,10
medium_sparse,1D,4,0.000046,998,6,10
medium_sparse,1D,8,0.000046,998,6,10
medium_sparse,2D,1,0.000104,998,6,10
medium_sparse,2D,16,0.001281,998,6,10
medium_sparse,2D,4,0.001226,998,6,10
medium_sparse,2D,9,0.001240,998,6,10
