graph,strategy,ranks,trial,time_s,reachable,max_depth
medium_chain,1D,1,1,0.002216,1000,999
medium_chain,1D,1,2,0.002243,1000,999
medium_chain,1D,1,3,0.002296,1000,999
medium_chain,1D,1,4,0.002054,1000,999
medium_chain,1D,1,5,0.002185,1000,999
medium_chain,1D,1,6,0.002196,1000,999
medium_chain,1D,1,7,0.002090,1000,999
medium_chain,1D,1,8,0.002052,1000,999
medium_chain,1D,1,9,0.002193,1000,999
medium_chain,1D,1,10,0.002233,1000,999
medium_chain,1D,2,1,0.002543,1000,999
medium_chain,1D,2,2,0.002989,1000,999
medium_chain,1D,2,3,0.002409,1000,999
medium_chain,1D,2,4,0.003042,1000,999
medium_chain,1D,2,5,0.003035,1000,999
medium_chain,1D,2,6,0.002357,1000,999
medium_chain,1D,2,7,0.002550,1000,999
medium_chain,1D,2,8,0.002528,1000,999
medium_chain,1D,2,9,0.002876,1000,999
medium_chain,1D,2,10,0.002524,1000,999
medium_chain,1D,4,1,0.002995,1000,999
medium_chain,1D,4,2,0.002899,1000,999
medium_chain,1D,4,3,0.002818,1000,999
medium_chain,1D,4,4,0.002843,1000,999
medium_chain,1D,4,5,0.002940,1000,999
medium_chain,1D,4,6,0.002887,1000,999
medium_chain,1D,4,7,0.002798,1000,999
medium_chain,1D,4,8,0.002980,1000,999
medium_chain,1D,4,9,0.002844,1000,999
medium_chain,1D,4,10,0.002880,1000,999
medium_chain,1D,8,1,0.003780,1000,999
medium_chain,1D,8,2,0.003881,1000,999
medium_chain,1D,8,3,0.003822,1000,999
medium_chain,1D,8,4,0.003750,1000,999
medium_chain,1D,8,5,0.003780,1000,999
medium_chain,1D,8,6,0.003804,1000,999
medium_chain,1D,8,7,0.003783,1000,999
medium_chain,1D,8,8,0.003796,1000,999
medium_chain,1D,8,9,0.003806,1000,999
medium_chain,1D,8,10,0.003765,1000,999
medium_chain,1D,16,1,0.003654,1000,999
medium_chain,1D,16,2,0.003662,1000,999
medium_chain,1D,16,3,0.004345,1000,999
medium_chain,1D,16,4,0.003984,1000,999
medium_chain,1D,16,5,0.003055,1000,999
medium_chain,1D,16,6,0.003978,1000,999
medium_chain,1D,16,7,0.004426,1000,999
medium_chain,1D,16,8,0.004270,1000,999
medium_chain,1D,16,9,0.003583,1000,999
medium_chain,1D,16,10,0.003598,1000,999
medium_chain,2D,1,1,0.004400,1000,999
medium_chain,2D,1,2,0.004482,1000,999
medium_chain,2D,1,3,0.004798,1000,999
medium_chain,2D,1,4,0.004379,1000,999
medium_chain,2D,1,5,0.004441,1000,999
medium_chain,2D,1,6,0.004443,1000,999
medium_chain,2D,1,7,0.004344,1000,999
medium_chain,2D,1,8,0.004440,1000,999
medium_chain,2D,1,9,0.004523,1000,999
medium_chain,2D,1,10,0.004431,1000,999
medium_chain,2D,4,1,0.006895,1000,999
medium_chain,2D,4,2,0.006564,1000,999
medium_chain,2D,4,3,0.007351,1000,999
medium_chain,2D,4,4,0.007343,1000,999
medium_chain,2D,4,5,0.006976,1000,999
medium_chain,2D,4,6,0.006730,1000,999
medium_chain,2D,4,7,0.007128,1000,999
medium_chain,2D,4,8,0.006854,1000,999
