graph,strategy,ranks,time_s,reachable,max_depth
roadNet-PA,1D,1,3.203230,1087562,541
roadNet-PA,1D,1,3.219161,1087562,541
roadNet-PA,1D,1,3.203154,1087562,541
roadNet-PA,1D,2,1.683395,1087562,541
roadNet-PA,1D,2,1.679436,1087562,541
roadNet-PA,1D,2,1.678713,1087562,541
roadNet-PA,1D,4,0.931245,1087562,541
roadNet-PA,1D,4,0.935017,1087562,541
roadNet-PA,1D,4,0.935348,1087562,541
roadNet-PA,1D,8,0.566908,1087562,541
roadNet-PA,1D,8,0.562579,1087562,541
roadNet-PA,1D,8,0.566721,1087562,541
roadNet-PA,1D,16,0.373668,1087562,541
roadNet-PA,1D,16,0.369628,1087562,541
roadNet-PA,1D,16,0.367673,1087562,541
roadNet-PA,1D,32,0.250830,1087562,541
roadNet-PA,1D,32,0.252237,1087562,541
roadNet-PA,1D,32,0.252926,1087562,541
roadNet-PA,1D,64,0.243842,1087562,541
roadNet-PA,1D,64,0.242768,1087562,541
roadNet-PA,1D,64,0.247912,1087562,541
roadNet-PA,2D,1,4.425674,1087562,541
roadNet-PA,2D,1,4.438510,1087562,541
roadNet-PA,2D,1,4.431716,1087562,541
roadNet-PA,2D,4,2.326559,1087562,541
roadNet-PA,2D,4,2.316969,1087562,541
roadNet-PA,2D,4,2.312440,1087562,541
roadNet-PA,2D,9,1.728164,1087562,541
roadNet-PA,2D,9,1.707017,1087562,541
roadNet-PA,2D,9,1.729718,1087562,541
roadNet-PA,2D,16,1.383914,1087562,541
roadNet-PA,2D,16,1.344265,1087562,541
roadNet-PA,2D,16,1.354890,1087562,541
roadNet-PA,2D,25,1.149729,1087562,541
roadNet-PA,2D,25,1.161799,1087562,541
roadNet-PA,2D,25,1.156486,1087562,541
roadNet-PA,2D,36,1.046229,1087562,541
roadNet-PA,2D,36,1.014754,1087562,541
roadNet-PA,2D,36,1.035597,1087562,541
roadNet-PA,2D,49,0.966735,1087562,541
roadNet-PA,2D,49,0.967440,1087562,541
roadNet-PA,2D,49,0.946404,1087562,541
roadNet-PA,2D,64,0.853415,1087562,541
roadNet-PA,2D,64,0.872848,1087562,541
roadNet-PA,2D,64,0.863500,1087562,541
roadNet-TX,1D,1,5.398256,1351137,722
roadNet-TX,1D,1,5.391601,1351137,722
roadNet-TX,1D,1,5.392899,1351137,722
roadNet-TX,1D,2,2.834535,1351137,722
roadNet-TX,1D,2,2.829177,1351137,722
roadNet-TX,1D,2,2.824139,1351137,722
roadNet-TX,1D,4,1.546556,1351137,722
roadNet-TX,1D,4,1.548422,1351137,722
roadNet-TX,1D,4,1.544576,1351137,722
roadNet-TX,1D,8,0.953070,1351137,722
roadNet-TX,1D,8,0.949973,1351137,722
roadNet-TX,1D,8,0.950362,1351137,722
roadNet-TX,1D,16,0.626508,1351137,722
roadNet-TX,1D,16,0.611326,1351137,722
roadNet-TX,1D,16,0.621578,1351137,722
roadNet-TX,1D,32,0.410865,1351137,722
roadNet-TX,1D,32,0.411957,1351137,722
roadNet-TX,1D,32,0.411471,1351137,722
roadNet-TX,1D,64,0.383658,1351137,722
roadNet-TX,1D,64,0.376269,1351137,722
roadNet-TX,1D,64,0.396003,1351137,722
roadNet-TX,2D,1,7.491319,1351137,722
roadNet-TX,2D,1,7.479369,1351137,722
roadNet-TX,2D,1,7.477218,1351137,722
roadNet-TX,2D,4,3.922860,1351137,722
roadNet-TX,2D,4,3.904298,1351137,722
roadNet-TX,2D,4,3.922785,1351137,722
roadNet-TX,2D,9,2.844206,1351137,722
roadNet-TX,2D,9,2.853090,1351137,722
roadNet-TX,2D,9,2.870485,1351137,722
roadNet-TX,2D,16,2.206979,1351137,722
roadNet-TX,2D,16,2.221751,1351137,722
roadNet-TX,2D,16,2.219828,1351137,722
roadNet-TX,2D,25,1.895857,1351137,722
roadNet-TX,2D,25,1.914436,1351137,722
roadNet-TX,2D,25,1.897720,1351137,722
roadNet-TX,2D,36,1.672498,1351137,722
roadNet-TX,2D,36,1.696095,1351137,722
roadNet-TX,2D,36,1.688000,1351137,722
roadNet-TX,2D,49,1.605226,1351137,722
roadNet-TX,2D,49,1.542611,1351137,722
roadNet-TX,2D,49,1.565437,1351137,722
roadNet-TX,2D,64,1.369503,1351137,722
roadNet-TX,2D,64,1.408749,1351137,722
roadNet-TX,2D,64,1.390648,1351137,722
roadNet-CA,1D,1,5.556487,1957027,554
roadNet-CA,1D,1,5.532491,1957027,554
roadNet-CA,1D,1,5.526995,1957027,554
roadNet-CA,1D,2,2.940258,1957027,554
roadNet-CA,1D,2,2.965905,1957027,554
roadNet-CA,1D,2,2.937945,1957027,554
roadNet-CA,1D,4,1.843212,1957027,554
roadNet-CA,1D,4,1.844127,1957027,554
roadNet-CA,1D,4,1.846790,1957027,554
roadNet-CA,1D,8,1.122868,1957027,554
roadNet-CA,1D,8,1.121080,1957027,554
roadNet-CA,1D,8,1.133762,1957027,554
roadNet-CA,1D,16,0.730954,1957027,554
roadNet-CA,1D,16,0.711662,1957027,554
roadNet-CA,1D,16,0.714548,1957027,554
roadNet-CA,1D,32,0.472722,1957027,554
roadNet-CA,1D,32,0.469346,1957027,554
roadNet-CA,1D,32,0.470961,1957027,554
roadNet-CA,1D,64,0.412492,1957027,554
roadNet-CA,1D,64,0.401929,1957027,554
roadNet-CA,1D,64,0.418372,1957027,554
roadNet-CA,2D,1,7.824045,1957027,554
roadNet-CA,2D,1,7.827331,1957027,554
roadNet-CA,2D,1,7.778180,1957027,554
roadNet-CA,2D,4,4.111711,1957027,554
roadNet-CA,2D,4,4.121734,1957027,554
roadNet-CA,2D,4,4.136537,1957027,554
roadNet-CA,2D,9,3.023023,1957027,554
roadNet-CA,2D,9,2.967553,1957027,554
roadNet-CA,2D,9,3.011879,1957027,554
roadNet-CA,2D,16,2.555635,1957027,554
roadNet-CA,2D,16,2.549992,1957027,554
roadNet-CA,2D,16,2.559228,1957027,554
roadNet-CA,2D,25,2.071462,1957027,554
roadNet-CA,2D,25,2.091325,1957027,554
roadNet-CA,2D,25,2.074113,1957027,554
roadNet-CA,2D,36,1.924364,1957027,554
roadNet-CA,2D,36,1.885253,1957027,554
roadNet-CA,2D,36,1.896778,1957027,554
roadNet-CA,2D,49,1.770241,1957027,554
roadNet-CA,2D,49,1.754454,1957027,554
roadNet-CA,2D,49,1.742876,1957027,554
roadNet-CA,2D,64,1.611111,1957027,554
roadNet-CA,2D,64,1.624563,1957027,554
roadNet-CA,2D,64,1.583256,1957027,554
