graph,gpu_count,median_ms,min_ms,max_ms,speedup_vs_1gpu
large_dense.edgelist,1,0.550,0.549,0.558,1.000
large_dense.edgelist,2,0.592,0.572,0.602,0.929
large_dense.edgelist,4,0.846,0.844,0.852,0.650
large_powerlaw.edgelist,1,0.599,0.583,0.616,1.000
large_powerlaw.edgelist,2,0.664,0.664,0.668,0.902
large_powerlaw.edgelist,4,0.836,0.835,0.845,0.717
large_sparse.edgelist,1,0.403,0.370,0.403,1.000
large_sparse.edgelist,2,0.601,0.599,0.620,0.671
large_sparse.edgelist,4,0.996,0.993,0.997,0.405
roadNet-CA.txt,1,76.352,76.218,76.873,1.000
roadNet-CA.txt,2,107.816,107.279,108.725,0.708
roadNet-CA.txt,4,189.867,189.793,193.174,0.402
roadNet-PA.txt,1,50.029,49.765,50.347,1.000
roadNet-PA.txt,2,72.367,71.537,72.367,0.691
roadNet-PA.txt,4,125.306,124.914,126.200,0.399
roadNet-TX.txt,1,78.738,78.285,78.791,1.000
roadNet-TX.txt,2,109.533,108.583,110.190,0.719
roadNet-TX.txt,4,195.043,192.262,196.669,0.404
