graph,implementation,variant,median_ms,min_ms,max_ms
large_dense.edgelist,graph-first,direction-optimizing,5.085,4.847,14.737
large_dense.edgelist,linear-algebraic,baseline,4.918,4.691,13.680
large_dense.edgelist,linear-algebraic,bitmap,4.438,4.288,13.377
large_dense.edgelist,linear-algebraic,pushpull,4.805,4.549,13.644
large_dense.edgelist,linear-algebraic,warp,5.006,4.698,17.706
large_dense.edgelist,linear-algebraic,warpbitmap,8.102,4.278,21.115
large_powerlaw.edgelist,graph-first,direction-optimizing,6.264,6.229,15.455
large_powerlaw.edgelist,linear-algebraic,baseline,2.833,2.778,10.974
large_powerlaw.edgelist,linear-algebraic,bitmap,2.468,2.327,11.693
large_powerlaw.edgelist,linear-algebraic,pushpull,4.417,4.306,20.158
large_powerlaw.edgelist,linear-algebraic,warp,8.698,2.469,12.589
large_powerlaw.edgelist,linear-algebraic,warpbitmap,2.325,2.250,28.673
large_sparse.edgelist,graph-first,direction-optimizing,1.927,1.905,36.525
large_sparse.edgelist,linear-algebraic,baseline,1.707,1.685,11.835
large_sparse.edgelist,linear-algebraic,bitmap,1.446,1.433,11.640
large_sparse.edgelist,linear-algebraic,pushpull,1.809,1.792,11.489
large_sparse.edgelist,linear-algebraic,warp,1.809,1.775,19.212
large_sparse.edgelist,linear-algebraic,warpbitmap,1.579,1.561,14.387
medium_chain.edgelist,graph-first,direction-optimizing,32.918,31.705,36.142
medium_chain.edgelist,linear-algebraic,baseline,19.553,18.840,25.522
medium_chain.edgelist,linear-algebraic,bitmap,18.733,18.559,25.474
medium_chain.edgelist,linear-algebraic,pushpull,32.499,31.794,47.914
medium_chain.edgelist,linear-algebraic,warp,19.293,19.093,21.851
medium_chain.edgelist,linear-algebraic,warpbitmap,19.221,18.826,23.434
medium_dense.edgelist,graph-first,direction-optimizing,0.697,0.686,2.341
medium_dense.edgelist,linear-algebraic,baseline,0.611,0.594,4.712
medium_dense.edgelist,linear-algebraic,bitmap,0.603,0.589,4.857
medium_dense.edgelist,linear-algebraic,pushpull,0.667,0.644,3.013
medium_dense.edgelist,linear-algebraic,warp,2.393,0.558,15.763
medium_dense.edgelist,linear-algebraic,warpbitmap,0.557,0.552,4.573
medium_sparse.edgelist,graph-first,direction-optimizing,0.758,0.740,5.237
medium_sparse.edgelist,linear-algebraic,baseline,0.687,0.664,5.487
medium_sparse.edgelist,linear-algebraic,bitmap,0.677,0.661,0.687
medium_sparse.edgelist,linear-algebraic,pushpull,0.799,0.748,5.315
medium_sparse.edgelist,linear-algebraic,warp,0.665,0.657,0.688
medium_sparse.edgelist,linear-algebraic,warpbitmap,0.671,0.664,2.514
